,Lat,Lon,Elevation,Percipitation,Temp,Human.index,Current.velocity,Catchment.area,Perimeter,Longest.distance,Slope,Cumulative.detric.distance,Urban.,Agri.,Plant.,Water.,Forest.,Bare.land.,TN,TP,NH4,NO3,TOC,WT,EC,DO,pH,ORP,Chl.a,Archaea,Bacteria,Fungi,Protist
1,33.8,106.5,1200,150,12,3.2,0.6,50,15,8,8.5,25,2,5,85,3,70,5,0.8,0.05,0.1,0.3,2.5,10,150,8.5,7,250,1.2,2.8,4.5,3.2,3.8
2,34.2,107.1,950,130,15,5.1,0.4,120,25,15,6.2,75,5,15,70,5,55,10,1.2,0.08,0.2,0.5,3.8,14,220,7.8,7.2,200,2.5,2.5,4.2,2.9,3.5
3,34.9,108.3,600,110,18,8.7,0.3,350,45,30,4,180,12,25,55,8,40,15,1.8,0.12,0.3,0.8,5.2,18,320,6.5,7.5,180,4,2,3.8,2.5,3
4,35.5,109.6,400,90,22,12.3,0.2,800,70,50,2.5,350,20,35,40,10,30,20,2.5,0.18,0.4,1.2,7,22,450,5.8,7.8,150,6.5,1.5,3.2,2,2.5
5,36.7,110.2,200,70,25,18.5,0.1,1500,120,80,1.2,600,30,45,25,15,15,30,3.2,0.25,0.6,1.8,9.5,26,600,4.5,8,120,10,1,2.5,1.5,2
6,36,109.8,350,85,23,13.5,0.2,950,85,60,2,400,22,38,35,12,25,22,2.8,0.2,0.5,1.5,8.2,24,500,5.2,7.7,140,7.5,1.3,3,1.8,2.3
7,35.8,109.4,420,95,21,11.8,0.2,700,65,45,3,320,18,32,45,9,35,18,2.2,0.16,0.4,1,6.5,20,400,6,7.6,160,5.5,1.7,3.5,2.2,2.7
8,35.3,109.1,480,100,20,10.2,0.3,550,55,38,3.5,280,15,28,50,7,42,16,1.9,0.14,0.35,0.9,5.8,19,360,6.3,7.4,170,4.5,1.9,3.7,2.4,3.1
9,34.7,108.7,550,105,19,9,0.3,450,50,35,4.2,240,13,24,58,6,48,14,1.6,0.11,0.3,0.7,5,17,340,6.8,7.3,190,3.8,2.1,4,2.6,3.3
10,34.5,108.2,680,115,17,7.8,0.4,300,40,28,5,200,10,20,65,5,50,12,1.4,0.09,0.25,0.6,4.5,16,280,7.2,7.1,210,3,2.4,4.3,2.8,3.6
11,34.3,107.9,750,125,16,6.5,0.4,200,30,22,5.8,160,8,18,72,4,58,10,1.1,0.07,0.2,0.4,3.5,15,240,7.5,7,230,2.2,2.6,4.4,3,3.7
12,34.1,107.5,820,135,14,5.8,0.5,150,20,18,6.5,120,6,14,78,3,63,8,0.9,0.06,0.15,0.35,3,13,200,8,6.9,240,1.8,2.7,4.6,3.1,3.9
13,33.9,107,900,145,13,4.5,0.5,100,18,12,7.2,80,4,10,82,2,68,6,0.7,0.04,0.1,0.25,2.2,12,170,8.3,6.8,260,1.5,2.9,4.7,3.3,4
14,36.2,110,300,80,24,14.8,0.1,1200,100,70,1.8,500,25,42,30,13,20,25,3,0.22,0.55,1.6,9,25,550,4.8,7.9,130,8.5,1.1,2.8,1.7,2.1
15,36.5,110.3,250,75,24.5,16.2,0.1,1350,110,75,1.5,550,28,46,27,14,18,28,3.3,0.27,0.65,1.9,9.8,25.5,580,4.6,8.1,125,9,0.9,2.7,1.6,2
16,36.7,110.4,220,72,25,17.5,0.1,1600,130,85,1.3,620,32,48,23,16,13,32,3.4,0.29,0.7,2,10,26.5,620,4.3,8.1,115,10.5,0.9,2.3,1.4,1.9
17,36.8,110.5,190,68,25.5,18.2,0.1,1650,135,90,1.2,650,33,49,21,17,11,34,3.5,0.31,0.72,2.1,10.3,27,640,4.1,8.1,110,11,0.8,2.2,1.3,1.8
18,36.9,110.6,170,67,25.8,18.8,0.1,1700,140,95,1.1,680,34,50,20,18,10,35,3.6,0.33,0.75,2.2,10.5,27.5,660,4,8.2,105,11.8,0.7,2.1,1.2,1.7
19,37,110.7,160,66,26,19.5,0.1,1750,145,100,1,710,35,52,18,19,9,36,3.7,0.35,0.78,2.3,10.8,28,680,3.9,8.2,100,12.5,0.6,2,1.1,1.6
20,37.1,110.8,150,65,26.2,20,0.1,1800,150,105,0.9,740,36,54,16,20,8,37,3.8,0.37,0.8,2.4,11,28.5,700,3.8,8.3,95,13,0.5,1.9,1,1.5
21,37.2,110.9,140,64,26.5,20.5,0.1,1850,155,110,0.8,770,37,55,15,21,7,38,3.9,0.39,0.82,2.5,11.2,29,720,3.7,8.3,90,13.5,0.4,1.8,0.9,1.4
22,37.3,111,130,63,26.8,21,0.1,1900,160,115,0.7,800,38,56,14,22,6,39,4,0.41,0.85,2.6,11.5,29.5,740,3.6,8.4,85,14,0.3,1.7,0.8,1.3
23,37.4,111.1,120,62,27,21.5,0.1,1950,165,120,0.6,830,39,57,13,23,5,40,4.1,0.43,0.88,2.7,11.8,30,760,3.5,8.4,80,14.5,0.2,1.6,0.7,1.2
24,37.5,111.2,110,61,27.2,22,0.1,2000,170,125,0.5,860,40,58,12,24,4,41,4.2,0.45,0.9,2.8,12,30.5,780,3.4,8.5,75,15,0.1,1.5,0.6,1.1
25,37.6,111.3,100,60,27.5,22.5,0.1,2050,175,130,0.4,890,41,59,10,25,3,42,4.3,0.47,0.93,2.9,12.3,31,800,3.3,8.5,70,15.5,0,1.4,0.5,1
26,37.7,111.4,90,59,27.8,23,0.1,2100,180,135,0.3,920,42,60,9,26,2,43,4.4,0.49,0.95,3,12.5,31.5,820,3.2,8.6,65,16,0,1.3,0.4,1
27,37.8,111.5,80,58,28,23.5,0.1,2150,185,140,0.2,950,43,61,8,27,1,44,4.5,0.51,0.98,3.1,12.8,32,840,3.1,8.6,60,16.5,0,1.2,0.3,0.9
28,37.9,111.6,70,57,28.2,24,0.1,2200,190,145,0.1,980,44,62,7,28,0,45,4.6,0.53,1,3.2,13,32.5,860,3,8.7,55,17,0,1.1,0.2,0.8
29,38,111.7,60,56,28.5,24.5,0.1,2250,195,150,0,1010,45,63,6,29,0,46,4.7,0.55,1.05,3.3,13.3,33,880,2.9,8.7,50,17.5,0,1,0.1,0.7
30,38.1,111.8,50,55,28.8,25,0.1,2300,200,155,0,1040,46,64,5,30,0,47,4.8,0.57,1.1,3.4,13.5,33.5,900,2.8,8.8,45,18,0,0.9,0,0.6
31,38.2,111.9,40,54,29,25.5,0.1,2350,205,160,0,1070,47,65,4,31,0,48,4.9,0.59,1.15,3.5,13.8,34,920,2.7,8.8,40,18.5,0,0.8,0,0.5
32,38.3,112,30,53,29.2,26,0.1,2400,210,165,0,1100,48,66,3,32,0,49,5,0.61,1.2,3.6,14,34.5,940,2.6,8.9,35,19,0,0.7,0,0.4
33,38.4,112.1,20,52,29.5,26.5,0.1,2450,215,170,0,1130,49,67,2,33,0,50,5.1,0.63,1.25,3.7,14.3,35,960,2.5,8.9,30,19.5,0,0.6,0,0.3
34,38.5,112.2,10,51,29.8,27,0.1,2500,220,175,0,1160,50,68,1,34,0,51,5.2,0.65,1.3,3.8,14.5,35.5,980,2.4,9,25,20,0,0.5,0,0.2
35,38.6,112.3,5,50,30,27.5,0.1,2550,225,180,0,1190,51,69,0,35,0,52,5.3,0.67,1.35,3.9,14.8,36,1000,2.3,9,20,20.5,0,0.4,0,0.1
36,38.7,112.4,0,49,30.2,28,0.1,2600,230,185,0,1220,52,70,0,36,0,53,5.4,0.69,1.4,4,15,36.5,1020,2.2,9.1,15,21,0,0.3,0,0.1
37,38.8,112.5,-5,48,30.5,28.5,0.1,2650,235,190,0,1250,53,71,0,37,0,54,5.5,0.71,1.45,4.1,15.3,37,1040,2.1,9.1,10,21.5,0,0.2,0,0
38,38.9,112.6,-10,47,30.8,29,0.1,2700,240,195,0,1280,54,72,0,38,0,55,5.6,0.73,1.5,4.2,15.5,37.5,1060,2,9.2,5,22,0,0.1,0,0
39,39,112.7,-15,46,31,29.5,0.1,2750,245,200,0,1310,55,73,0,39,0,56,5.7,0.75,1.55,4.3,15.8,38,1080,1.9,9.2,0,22.5,0,0,0,0
40,39.1,112.8,-20,45,31.3,30,0.1,2800,250,205,0,1340,56,74,0,40,0,57,5.8,0.77,1.6,4.4,16,38.5,1100,1.8,9.3,-5,23,0,0,0,0
41,39.2,112.9,-25,44,31.5,30.5,0.1,2850,255,210,0,1370,57,75,0,41,0,58,5.9,0.79,1.65,4.5,16.3,39,1120,1.7,9.3,-10,23.5,0,0,0,0
42,39.3,113,-30,43,31.8,31,0.1,2900,260,215,0,1400,58,76,0,42,0,59,6,0.81,1.7,4.6,16.5,39.5,1140,1.6,9.4,-15,24,0,0,0,0
43,39.4,113.1,-35,42,32,31.5,0.1,2950,265,220,0,1430,59,77,0,43,0,60,6.1,0.83,1.75,4.7,16.8,40,1160,1.5,9.4,-20,24.5,0,0,0,0
44,39.5,113.2,-40,41,32.3,32,0.1,3000,270,225,0,1460,60,78,0,44,0,61,6.2,0.85,1.8,4.8,17,40.5,1180,1.4,9.5,-25,25,0,0,0,0
45,39.6,113.3,-45,40,32.5,32.5,0.1,3050,275,230,0,1490,61,79,0,45,0,62,6.3,0.87,1.85,4.9,17.3,41,1200,1.3,9.5,-30,25.5,0,0,0,0
46,39.7,113.4,-50,39,32.8,33,0.1,3100,280,235,0,1520,62,80,0,46,0,63,6.4,0.89,1.9,5,17.5,41.5,1220,1.2,9.6,-35,26,0,0,0,0
47,39.8,113.5,-55,38,33,33.5,0.1,3150,285,240,0,1550,63,81,0,47,0,64,6.5,0.91,1.95,5.1,17.8,42,1240,1.1,9.6,-40,26.5,0,0,0,0
48,39.9,113.6,-60,37,33.3,34,0.1,3200,290,245,0,1580,64,82,0,48,0,65,6.6,0.93,2,5.2,18,42.5,1260,1,9.7,-45,27,0,0,0,0
49,37,110.4,160,66,25.5,19.2,0.1,1700,140,95,1.1,1600,33,48,22,18,12,33,3.4,0.28,0.68,1.95,10.2,27,630,4.2,8.1,110,11.5,0.8,2.1,1.3,1.9
50,37.1,110.5,150,65,26,20,0.1,1800,150,100,1,1630,35,50,20,20,10,35,3.5,0.3,0.7,2,10.5,28,650,4,8.2,100,12,0.8,2,1.2,1.8
